Tanggal;Harga (Rupiah)
01/09/2022;62070.00
02/09/2022;57760.00
03/09/2022;59920.00
04/09/2022;59450.00
05/09/2022;61310.00
06/09/2022;63940.00
07/09/2022;64810.00
08/09/2022;62950.00
09/09/2022;65620.00
10/09/2022;65690.00
11/09/2022;63940.00
12/09/2022;62320.00
13/09/2022;63150.00
14/09/2022;66500.00
15/09/2022;67330.00
16/09/2022;67330.00
17/09/2022;68950.00
18/09/2022;69930.00
19/09/2022;71510.00
20/09/2022;75700.00
21/09/2022;76520.00
22/09/2022;76470.00
23/09/2022;73080.00
24/09/2022;72240.00
25/09/2022;72540.00
26/09/2022;72110.00
27/09/2022;73080.00
28/09/2022;75410.00
29/09/2022;75280.00
30/09/2022;76980.00
01/10/2022;76160.00
02/10/2022;74500.00
03/10/2022;74420.00
04/10/2022;71890.00
05/10/2022;69520.00
06/10/2022;70150.00
07/10/2022;66860.00
08/10/2022;65030.00
09/10/2022;66430.00
10/10/2022;65690.00
11/10/2022;63290.00
12/10/2022;63380.00
13/10/2022;64300.00
14/10/2022;64300.00
15/10/2022;67260.00
16/10/2022;66340.00
17/10/2022;59770.00
18/10/2022;62510.00
19/10/2022;59920.00
20/10/2022;60790.00
21/10/2022;55670.00
22/10/2022;57110.00
23/10/2022;58200.00
24/10/2022;54530.00
25/10/2022;54530.00
26/10/2022;49930.00
27/10/2022;53170.00
28/10/2022;51630.00
29/10/2022;52060.00
30/10/2022;50810.00
31/10/2022;50810.00
01/11/2022;50230.00
02/11/2022;50230.00
03/11/2022;49830.00
04/11/2022;49490.00
05/11/2022;49390.00
06/11/2022;48750.00
07/11/2022;49490.00
08/11/2022;49490.00
09/11/2022;49830.00
10/11/2022;50360.00
11/11/2022;48630.00
12/11/2022;49490.00
13/11/2022;49490.00
14/11/2022;49670.00
15/11/2022;47320.00
16/11/2022;46820.00
17/11/2022;45790.00
18/11/2022;45790.00
19/11/2022;47320.00
20/11/2022;48590.00
21/11/2022;45420.00
22/11/2022;48770.00
23/11/2022;48870.00
24/11/2022;49910.00
25/11/2022;49220.00
26/11/2022;47810.00
27/11/2022;47840.00
28/11/2022;47840.00
29/11/2022;47840.00
30/11/2022;48260.00
01/12/2022;49230.00
02/12/2022;52620.00
03/12/2022;51150.00
04/12/2022;51340.00
05/12/2022;52820.00
06/12/2022;53950.00
07/12/2022;53180.00
08/12/2022;55210.00
09/12/2022;55130.00
10/12/2022;57740.00
11/12/2022;54430.00
12/12/2022;56400.00
13/12/2022;57220.00
14/12/2022;56680.00
15/12/2022;57220.00
16/12/2022;57030.00
17/12/2022;55320.00
18/12/2022;52530.00
19/12/2022;52430.00
20/12/2022;53470.00
21/12/2022;52440.00
22/12/2022;50790.00
23/12/2022;52530.00
24/12/2022;52910.00
25/12/2022;54540.00
26/12/2022;53760.00
27/12/2022;58520.00
28/12/2022;57220.00
29/12/2022;56400.00
30/12/2022;58140.00
31/12/2022;56400.00
01/01/2023;56250.00
02/01/2023;71020.00
03/01/2023;73300.00
04/01/2023;75560.00
05/01/2023;70040.00
06/01/2023;72620.00
07/01/2023;73070.00
08/01/2023;70760.00
09/01/2023;-
10/01/2023;69250.00
11/01/2023;65820.00
12/01/2023;67550.00
13/01/2023;68330.00
14/01/2023;66750.00
15/01/2023;65820.00
16/01/2023;66080.00
17/01/2023;63140.00
18/01/2023;59650.00
19/01/2023;62100.00
20/01/2023;65150.00
21/01/2023;63660.00
22/01/2023;62810.00
23/01/2023;59650.00
24/01/2023;59540.00
25/01/2023;59650.00
26/01/2023;62040.00
27/01/2023;60520.00
28/01/2023;66130.00
29/01/2023;64130.00
30/01/2023;64130.00
31/01/2023;64930.00
01/02/2023;64010.00
02/02/2023;63090.00
03/02/2023;63090.00
04/02/2023;61420.00
05/02/2023;63040.00
06/02/2023;62160.00
07/02/2023;64860.00
08/02/2023;64500.00
09/02/2023;65540.00
10/02/2023;64870.00
11/02/2023;61020.00
12/02/2023;64870.00
13/02/2023;64810.00
14/02/2023;65680.00
15/02/2023;63350.00
16/02/2023;68900.00
17/02/2023;71270.00
18/02/2023;72230.00
19/02/2023;75530.00
20/02/2023;73770.00
21/02/2023;70570.00
22/02/2023;72110.00
23/02/2023;73970.00
24/02/2023;71990.00
25/02/2023;71990.00
26/02/2023;73870.00
27/02/2023;74780.00
28/02/2023;74030.00
01/03/2023;72150.00
02/03/2023;71330.00
03/03/2023;73840.00
04/03/2023;74630.00
05/03/2023;75390.00
06/03/2023;72740.00
07/03/2023;72050.00
08/03/2023;73930.00
09/03/2023;75390.00
10/03/2023;77090.00
11/03/2023;79740.00
12/03/2023;81080.00
13/03/2023;77750.00
14/03/2023;76800.00
15/03/2023;77580.00
16/03/2023;71990.00
17/03/2023;78650.00
18/03/2023;83250.00
19/03/2023;84100.00
20/03/2023;84100.00
21/03/2023;85710.00
22/03/2023;85710.00
23/03/2023;85710.00
24/03/2023;83720.00
25/03/2023;83720.00
26/03/2023;84630.00
27/03/2023;84520.00
28/03/2023;79530.00
29/03/2023;71340.00
30/03/2023;71220.00
31/03/2023;68840.00
01/04/2023;69430.00
02/04/2023;62870.00
03/04/2023;65310.00
04/04/2023;59140.00
05/04/2023;60740.00
06/04/2023;61380.00
07/04/2023;58280.00
08/04/2023;54850.00
09/04/2023;53820.00
10/04/2023;54770.00
11/04/2023;50560.00
12/04/2023;50240.00
13/04/2023;48710.00
14/04/2023;43530.00
15/04/2023;44850.00
16/04/2023;46340.00
17/04/2023;45610.00
18/04/2023;51260.00
19/04/2023;51260.00
20/04/2023;53210.00
21/04/2023;53920.00
22/04/2023;54590.00
23/04/2023;53210.00
24/04/2023;52880.00
25/04/2023;50650.00
26/04/2023;51540.00
27/04/2023;49130.00
28/04/2023;46510.00
29/04/2023;45610.00
30/04/2023;44030.00
01/05/2023;43180.00
02/05/2023;43940.00
03/05/2023;43940.00
04/05/2023;43940.00
05/05/2023;39900.00
06/05/2023;39710.00
07/05/2023;40500.00
08/05/2023;40500.00
09/05/2023;41300.00
10/05/2023;40500.00
11/05/2023;41300.00
12/05/2023;42340.00
13/05/2023;44030.00
14/05/2023;42430.00
15/05/2023;43270.00
16/05/2023;42430.00
17/05/2023;44030.00
18/05/2023;43180.00
19/05/2023;42430.00
20/05/2023;42430.00
21/05/2023;43740.00
22/05/2023;48710.00
23/05/2023;46720.00
24/05/2023;47260.00
25/05/2023;48190.00
26/05/2023;47260.00
27/05/2023;47870.00
28/05/2023;46840.00
29/05/2023;48540.00
30/05/2023;48270.00
31/05/2023;47350.00
01/06/2023;46530.00
02/06/2023;45630.00
03/06/2023;44810.00
04/06/2023;46430.00
05/06/2023;47260.00
06/06/2023;47950.00
07/06/2023;48050.00
08/06/2023;48050.00
09/06/2023;47950.00
10/06/2023;47950.00
11/06/2023;48560.00
12/06/2023;46200.00
13/06/2023;47020.00
14/06/2023;46700.00
15/06/2023;43060.00
16/06/2023;47110.00
17/06/2023;46200.00
18/06/2023;47430.00
19/06/2023;43940.00
20/06/2023;44030.00
21/06/2023;44910.00
22/06/2023;44030.00
23/06/2023;43180.00
24/06/2023;40600.00
25/06/2023;42230.00
26/06/2023;42230.00
27/06/2023;42980.00
28/06/2023;43940.00
29/06/2023;46060.00
30/06/2023;45610.00
01/07/2023;44600.00
02/07/2023;45810.00
03/07/2023;44300.00
04/07/2023;41160.00
05/07/2023;39550.00
06/07/2023;40440.00
07/07/2023;41180.00
08/07/2023;41220.00
09/07/2023;41220.00
10/07/2023;39550.00
11/07/2023;38780.00
12/07/2023;38130.00
13/07/2023;38880.00
14/07/2023;38490.00
15/07/2023;38340.00
16/07/2023;37700.00
17/07/2023;38030.00
18/07/2023;38830.00
19/07/2023;37790.00
20/07/2023;39760.00
21/07/2023;38260.00
22/07/2023;38500.00
23/07/2023;35360.00
24/07/2023;37930.00
25/07/2023;37930.00
26/07/2023;40450.00
27/07/2023;39120.00
28/07/2023;40220.00
29/07/2023;40080.00
30/07/2023;40790.00
31/07/2023;41250.00
01/08/2023;42340.00
02/08/2023;43530.00
03/08/2023;44030.00
04/08/2023;46610.00
05/08/2023;45700.00
06/08/2023;44910.00
07/08/2023;45270.00
08/08/2023;44490.00
09/08/2023;46080.00
10/08/2023;45800.00
11/08/2023;45800.00
12/08/2023;47430.00
13/08/2023;46890.00
14/08/2023;47430.00
15/08/2023;48460.00
16/08/2023;48780.00
17/08/2023;50630.00
18/08/2023;48010.00
19/08/2023;50370.00
20/08/2023;51610.00
21/08/2023;50800.00
22/08/2023;50140.00
23/08/2023;50720.00
24/08/2023;51440.00
25/08/2023;50370.00
26/08/2023;50220.00
27/08/2023;50370.00
28/08/2023;50370.00
29/08/2023;48710.00
30/08/2023;47870.00
31/08/2023;46940.00
01/09/2023;46510.00
02/09/2023;44030.00
03/09/2023;44810.00
04/09/2023;44810.00
05/09/2023;43270.00
06/09/2023;43180.00
07/09/2023;43270.00
08/09/2023;45390.00
09/09/2023;44510.00
10/09/2023;44300.00
11/09/2023;42200.00
12/09/2023;42830.00
13/09/2023;41620.00
14/09/2023;39790.00
15/09/2023;39790.00
16/09/2023;39900.00
17/09/2023;38180.00
18/09/2023;38180.00
19/09/2023;38180.00
20/09/2023;43820.00
21/09/2023;38180.00
22/09/2023;38540.00
23/09/2023;39710.00
24/09/2023;41300.00
25/09/2023;40150.00
26/09/2023;40500.00
27/09/2023;40500.00
28/09/2023;41210.00
29/09/2023;42140.00
30/09/2023;43500.00
01/10/2023;44480.00
02/10/2023;43500.00
03/10/2023;45430.00
04/10/2023;44300.00
05/10/2023;44480.00
06/10/2023;45260.00
07/10/2023;47340.00
08/10/2023;47340.00
09/10/2023;47340.00
10/10/2023;49390.00
11/10/2023;48210.00
12/10/2023;51460.00
13/10/2023;51460.00
14/10/2023;52280.00
15/10/2023;52370.00
16/10/2023;53210.00
17/10/2023;53130.00
18/10/2023;54110.00
19/10/2023;53040.00
20/10/2023;56910.00
21/10/2023;56470.00
22/10/2023;56950.00
23/10/2023;56470.00
24/10/2023;62460.00
25/10/2023;66490.00
26/10/2023;64060.00
27/10/2023;68540.00
28/10/2023;73120.00
29/10/2023;73970.00
30/10/2023;75530.00
31/10/2023;76250.00
01/11/2023;78760.00
02/11/2023;81190.00
03/11/2023;84900.00
04/11/2023;88120.00
05/11/2023;88640.00
06/11/2023;62240.00
07/11/2023;62240.00
08/11/2023;91550.00
09/11/2023;92920.00
10/11/2023;94700.00
11/11/2023;93330.00
12/11/2023;90200.00
13/11/2023;93260.00
14/11/2023;94910.00
15/11/2023;93170.00
16/11/2023;92270.00
17/11/2023;93600.00
18/11/2023;88580.00
19/11/2023;86630.00
20/11/2023;93130.00
21/11/2023;97010.00
22/11/2023;101170.00
23/11/2023;102210.00
24/11/2023;103840.00
25/11/2023;105510.00
26/11/2023;104630.00
27/11/2023;102960.00
28/11/2023;102960.00
29/11/2023;104970.00
30/11/2023;108760.00
01/12/2023;110590.00
02/12/2023;109700.00
03/12/2023;108760.00
04/12/2023;108760.00
05/12/2023;107970.00
06/12/2023;107740.00
07/12/2023;105510.00
08/12/2023;71880.00
09/12/2023;109370.00
10/12/2023;110310.00
11/12/2023;110310.00
12/12/2023;109850.00
13/12/2023;105890.00
14/12/2023;103990.00
15/12/2023;102430.00
16/12/2023;101600.00
17/12/2023;99830.00
18/12/2023;95630.00
19/12/2023;94820.00
20/12/2023;95630.00
21/12/2023;92330.00
22/12/2023;93170.00
23/12/2023;94660.00
24/12/2023;94060.00
25/12/2023;94060.00
26/12/2023;91400.00
27/12/2023;93220.00
28/12/2023;90630.00
29/12/2023;91400.00
30/12/2023;94060.00
31/12/2023;91400.00
01/01/2024;92420.00
02/01/2024;94870.00
03/01/2024;94910.00
04/01/2024;93260.00
05/01/2024;93070.00
06/01/2024;88100.00
07/01/2024;88250.00
08/01/2024;83030.00
09/01/2024;78760.00
10/01/2024;76250.00
11/01/2024;72740.00
12/01/2024;70140.00
13/01/2024;70140.00
14/01/2024;70140.00
15/01/2024;64850.00
16/01/2024;67220.00
17/01/2024;67650.00
18/01/2024;70100.00
19/01/2024;66290.00
20/01/2024;60630.00
21/01/2024;63260.00
22/01/2024;62540.00
23/01/2024;62540.00
24/01/2024;62310.00
25/01/2024;65550.00
26/01/2024;60520.00
27/01/2024;61870.00
28/01/2024;62640.00
29/01/2024;62540.00
30/01/2024;60160.00
31/01/2024;61440.00
01/02/2024;62340.00
02/02/2024;63470.00
03/02/2024;61680.00
04/02/2024;63420.00
05/02/2024;64860.00
06/02/2024;61860.00
07/02/2024;62470.00
08/02/2024;59920.00
09/02/2024;67500.00
10/02/2024;61780.00
11/02/2024;55700.00
12/02/2024;60030.00
13/02/2024;59280.00
14/02/2024;59790.00
15/02/2024;63590.00
16/02/2024;71580.00
17/02/2024;74900.00
18/02/2024;72000.00
19/02/2024;78680.00
20/02/2024;82550.00
21/02/2024;83960.00
22/02/2024;87380.00
23/02/2024;62950.00
24/02/2024;90380.00
25/02/2024;87540.00
26/02/2024;87540.00
27/02/2024;86980.00
28/02/2024;85530.00
29/02/2024;85530.00
01/03/2024;81590.00
02/03/2024;81990.00
03/03/2024;81360.00
04/03/2024;81830.00
05/03/2024;82460.00
06/03/2024;78680.00
07/03/2024;86920.00
08/03/2024;87090.00
09/03/2024;82940.00
10/03/2024;85000.00
11/03/2024;83050.00
12/03/2024;79960.00
13/03/2024;75020.00
14/03/2024;81090.00
15/03/2024;80000.00
16/03/2024;90670.00
17/03/2024;85730.00
18/03/2024;84340.00
19/03/2024;75040.00
20/03/2024;71220.00
21/03/2024;68390.00
22/03/2024;67810.00
23/03/2024;62700.00
24/03/2024;65810.00
25/03/2024;65780.00
26/03/2024;61540.00
27/03/2024;58800.00
28/03/2024;57920.00
29/03/2024;55550.00
30/03/2024;53190.00
31/03/2024;52080.00
01/04/2024;53620.00
02/04/2024;53620.00
03/04/2024;55040.00
04/04/2024;55280.00
05/04/2024;57210.00
06/04/2024;58070.00
07/04/2024;64100.00
08/04/2024;64140.00
09/04/2024;69580.00
10/04/2024;-
11/04/2024;-
12/04/2024;64190.00
13/04/2024;63380.00
14/04/2024;61690.00
15/04/2024;56430.00
16/04/2024;54660.00
17/04/2024;54840.00
18/04/2024;51940.00
19/04/2024;49130.00
20/04/2024;49180.00
21/04/2024;48610.00
22/04/2024;52120.00
23/04/2024;50480.00
24/04/2024;50560.00
25/04/2024;48740.00
26/04/2024;51010.00
27/04/2024;48280.00
28/04/2024;47470.00
29/04/2024;46690.00
30/04/2024;47490.00
01/05/2024;47180.00
02/05/2024;45960.00
03/05/2024;48360.00
04/05/2024;44720.00
05/05/2024;47180.00
06/05/2024;47760.00
07/05/2024;46260.00
08/05/2024;47760.00
09/05/2024;45690.00
10/05/2024;45780.00
11/05/2024;41740.00
12/05/2024;39750.00
13/05/2024;40590.00
14/05/2024;41200.00
15/05/2024;41200.00
16/05/2024;42540.00
17/05/2024;43480.00
18/05/2024;41730.00
19/05/2024;43680.00
20/05/2024;42830.00
21/05/2024;44220.00
22/05/2024;45070.00
23/05/2024;43830.00
24/05/2024;41730.00
25/05/2024;42030.00
26/05/2024;43830.00
27/05/2024;44630.00
28/05/2024;42410.00
29/05/2024;42290.00
30/05/2024;42930.00
31/05/2024;42200.00
01/06/2024;38540.00
02/06/2024;41490.00
03/06/2024;41490.00
04/06/2024;41490.00
05/06/2024;44940.00
06/06/2024;42830.00
07/06/2024;42920.00
08/06/2024;42950.00
09/06/2024;41710.00
10/06/2024;43230.00
11/06/2024;49040.00
12/06/2024;49390.00
13/06/2024;51650.00
14/06/2024;54730.00
15/06/2024;55560.00
16/06/2024;51610.00
17/06/2024;65000.00
18/06/2024;60000.00
19/06/2024;52600.00
20/06/2024;52670.00
21/06/2024;49920.00
22/06/2024;46640.00
23/06/2024;48810.00
24/06/2024;43260.00
25/06/2024;42570.00
26/06/2024;44760.00
27/06/2024;46910.00
28/06/2024;46420.00
29/06/2024;44660.00
30/06/2024;46420.00
01/07/2024;42630.00
02/07/2024;43430.00
03/07/2024;44090.00
04/07/2024;46210.00
05/07/2024;47430.00
06/07/2024;47430.00
07/07/2024;47940.00
08/07/2024;49510.00
09/07/2024;50360.00
10/07/2024;48680.00
11/07/2024;49640.00
12/07/2024;50610.00
13/07/2024;49980.00
14/07/2024;52010.00
15/07/2024;50490.00
16/07/2024;60250.00
17/07/2024;61840.00
18/07/2024;67040.00
19/07/2024;75660.00
20/07/2024;73100.00
21/07/2024;66200.00
22/07/2024;63570.00
23/07/2024;65980.00
24/07/2024;77720.00
25/07/2024;74050.00
26/07/2024;82210.00
27/07/2024;75460.00
28/07/2024;69540.00
29/07/2024;79400.00
30/07/2024;84850.00
31/07/2024;78630.00
